"","NAME","SIZE","MILK","SERVING_SIZE_ml","CALORIES","TOTAL_FAT_g","SATURATED_FAT_g","TRANS_FAT_g","CHOLESTEROL_mg","SODIUM_mg","TOTAL_CARB_g","DIETARY_FIBER_g","SUGAR_g","PROTEIN_g","CALCIUM_mg","CALCIUM_pcdv","IRON_mg","IRON_pcdv","CAFFEINE_mg"
"168","Mocha Swirl Iced Coffee with Cream ","Medium","Cream","709",240,9,5,0,25,65,39,2,35,3,63,0.05,1,0.06,297
"169","Mocha Swirl Iced Coffee with Cream ","Small","Cream","354",160,6,3.5,0,20,45,26,1,24,2,43,0.03,1,0.06,198
"170","Caramel Swirl Iced Latte with Skim Milk ","Large","Nonfat","946",350,0,0,0,10,250,71,0,69,15,568,0.44,0,0,252
"171","Caramel Swirl Iced Latte with Skim Milk ","Medium","Nonfat","709",260,0,0,0,10,190,53,0,52,11,426,0.33,0,0,166
"172","French Vanilla Swirl Iced Cappuccino with Skim Milk ","Large","Nonfat","946",310,0,0,0,10,190,65,0,61,11,400,0.31,0,0,252
"173","French Vanilla Swirl Iced Cappuccino with Skim Milk ","Medium","Nonfat","709",230,0,0,0,5,140,48,0,46,8,299,0.23,0,0,166
"174","French Vanilla Swirl Iced Cappuccino with Skim Milk ","Small","Nonfat","354",150,0,0,0,5,95,32,0,30,5,200,0.15,0,0,118
"175","French Vanilla Swirl Iced Cappuccino with Whole Milk ","Large","Whole","946",370,8,4.5,0,30,190,64,0,60,10,377,0.29,0,0,252
"176","French Vanilla Swirl Iced Cappuccino with Whole Milk ","Medium","Whole","709",280,6,3.5,0,20,140,48,0,45,8,282,0.22,0,0,166
"177","French Vanilla Swirl Iced Cappuccino with Whole Milk ","Small","Whole","354",190,4,2.5,0,15,95,32,0,30,5,189,0.15,0,0,118
"178","Hazelnut Swirl Iced Cappuccino with Skim Milk ","Large","Nonfat","946",310,0,0,0,10,190,65,0,61,11,400,0.31,0,0,252
"179","Hazelnut Swirl Iced Cappuccino with Skim Milk ","Medium","Nonfat","709",230,0,0,0,5,140,49,0,46,8,299,0.23,0,0,166
"180","Hazelnut Swirl Iced Cappuccino with Skim Milk ","Small","Nonfat","354",150,0,0,0,5,95,32,0,30,5,200,0.15,0,0,118
"181","Hazelnut Swirl Iced Cappuccino with Whole Milk ","Large","Whole","946",370,8,4.5,0,30,190,64,0,60,10,377,0.29,0,0,252
"182","Hazelnut Swirl Iced Cappuccino with Whole Milk ","Medium","Whole","709",280,6,3.5,0,20,140,48,0,45,8,282,0.22,0,0,166
"183","Hazelnut Swirl Iced Cappuccino with Whole Milk ","Small","Whole","354",190,4,2.5,0,15,95,32,0,30,5,189,0.15,0,0,118
"184","Iced Cappuccino with Skim Milk ","Large","Nonfat","946",90,0,0,0,5,130,13,0,12,8,316,0.24,0,0,252
"185","Iced Cappuccino with Skim Milk ","Medium","Nonfat","709",70,0,0,0,5,95,10,0,9,6,236,0.18,0,0,166
"186","Iced Cappuccino with Skim Milk ","Small","Nonfat","354",45,0,0,0,0,65,7,0,6,4,158,0.12,0,0,118
"187","Iced Cappuccino with Skim Milk and Sugar ","Large","Nonfat","946",230,0,0,0,5,130,48,0,47,8,316,0.24,0,0,252
"188","Iced Cappuccino with Skim Milk and Sugar ","Medium","Nonfat","709",170,0,0,0,5,95,36,0,35,6,236,0.18,0,0,166
"189","Iced Cappuccino with Skim Milk and Sugar ","Small","Nonfat","354",110,0,0,0,0,65,24,0,23,4,158,0.12,0,0,118
"190","Iced Cappuccino with Whole Milk ","Large","Whole","946",160,8,4.5,0,25,130,13,0,12,8,293,0.23,0,0,252
"191","Iced Cappuccino with Whole Milk ","Medium","Whole","709",120,6,3.5,0,20,100,10,0,9,6,219,0.17,0,0,166
"192","Iced Cappuccino with Whole Milk ","Small","Whole","354",80,4,2.5,0,10,65,7,0,6,4,147,0.11,0,0,118
"193","Iced Cappuccino with Whole Milk and Sugar ","Large","Whole","946",290,8,4.5,0,25,130,48,0,46,8,293,0.23,0,0,252
