drink,Calories,Calories from Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g),Weight Watchers Pnts
Iced Caramel Mocha (Large),380,140,16,9,0.5,35,210,48,0,46,10,425
Iced Caramel Mocha (Medium),300,120,14,8,0,30,160,36,0,33,8,333
Iced Caramel Mocha (Small),240,100,12,7,0,25,130,29,0,26,6,267
Frappe Caramel (Small),450,180,20,13,1,55,135,61,0,57,6,514
Frappe Caramel (Medium),550,220,24,15,1,70,160,76,0,71,8,628
Frappe Caramel (Large),680,260,29,18,1.5,85,200,94,0,88,10,776
Frappe Mocha (Small),450,180,20,13,1,55,130,62,1,56,7,512
Frappe Mocha (Medium),560,210,24,15,1,65,160,78,1,70,8,637
Frappe Mocha (Large),680,250,28,18,1,80,200,96,1,87,10,775
Strawberry Banana Smoothie (Large),330,10,1,0.5,0,5,55,77,4,70,3,397.5
Strawberry Banana Smoothie (Medium),260,5,1,0,0,5,40,60,3,54,2,312
Strawberry Banana Smoothie (Small),210,5,0.5,0,0,5,35,49,2,44,2,252
Wild Berry Smoothie (Large),320,10,1,0.5,0,5,45,75,4,69,3,386.5
Wild Berry Smoothie (Medium),260,5,1,0,0,5,35,60,4,55,3,312
Wild Berry Smoothie (Small),210,5,0.5,0,0,5,30,48,3,44,2,252
