NAME,SIZE,MILK,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CALCIUM_mg,CALCIUM_pcdv,IRON_mg,IRON_pcdv
Iced Coffee with Skim Milk and Sugar - Large,Large,NA,160,0,0,0,0,45,38,0,38,3,95,0.07,0,0
Iced Coffee with Skim Milk and Sugar - Medium,Medium,NA,120,0,0,0,0,35,28,0,28,2,70,0.05,0,0
Iced Coffee with Skim Milk and Sugar - Small,Small,NA,80,0,0,0,0,25,19,0,19,1,47,0.04,0,0
Iced Coffee with Sugar - Large,Large,NA,140,0,0,0,0,20,35,0,35,1,21,0.02,0,0
Iced Coffee with Sugar - Medium,Medium,NA,110,0,0,0,0,15,26,0,26,0,15,0.01,0,0
Iced Coffee with Sugar - Small,Small,NA,70,0,0,0,0,10,17,0,17,0,11,0.01,0,0
Iced Coffee with Whole Milk -Large,Large,NA,40,2,1,0,5,45,3,0,3,3,89,0.07,0,0
Iced Coffee with Whole Milk -Medium,Medium,NA,30,1.5,1,0,5,35,2,0,2,2,66,0.05,0,0
Iced Coffee with Whole Milk -Small,Small,NA,20,1,0.5,0,5,25,1,0,1,1,44,0.03,0,0
Iced Coffee with Whole Milk and Sugar - Large,Large,NA,180,2,1,0,5,45,38,0,38,3,89,0.07,0,0
Iced Coffee with Whole Milk and Sugar - Medium,Medium,NA,130,1.5,1,0,5,35,28,0,28,2,66,0.05,0,0
Iced Coffee with Whole Milk and Sugar - Small,Small,NA,90,1,0.5,0,5,25,19,0,19,1,45,0.03,0,0
Mocha Swirl Iced Coffee Large,Large,NA,210,1,0,0,0,50,50,2,46,2,31,0.02,2,0.11
Mocha Swirl Iced Coffee Medium,Medium,NA,160,0.5,0,0,0,35,38,2,34,2,23,0.02,1,0.06
Mocha Swirl Iced Coffee Small,Small,NA,110,0,0,0,0,25,25,1,23,1,16,0.01,1,0.06
Mocha Swirl Iced Coffee with Cream - Large,Large,NA,330,12,7,0,35,90,52,2,47,4,84,0.06,2,0.11
Mocha Swirl Iced Coffee with Cream - Medium,Medium,NA,240,9,5,0,25,65,39,2,35,3,63,0.05,1,0.06
Mocha Swirl Iced Coffee with Cream - Small,Small,NA,160,6,3.5,0,20,45,26,1,24,2,43,0.03,1,0.06
